ICD-O code	Description 1	Description 2
8002/1	tumor microcítico	tumor microcítico
8004/1	neoplasia fusocelular	neoplasia fusocelular
8010/1	proliferacion epitelial neoplásica	proliferacion epitelial neoplásica
8032/1	tumor fusocelular	tumor fusocelular
8033/1	tumores de estirpe sarcomatoide	tumores de estirpe sarcomatoide
8041/1	tumor de células redondas	tumor de células redondas
8370/1	tumor de corteza suprarrenal	tumor de corteza suprarrenal
8590/6	Tumor de cordones sexuales / estroma gonadal maligno (OMS 2004) pT3 cN1 cM1a	Tumor de cordones sexuales / estroma gonadal maligno (OMS 2004) pT3 cN1 cM1a
8800/1	tumor mesenquimal	tumor mesenquimal
9090/1	Struma ovarii	Struma ovarii
9698/6	linfoma folicular grado 3A estadio IVA (metástasis	linfoma folicular grado 3A estadio IVA (metástasis
9699/6	linfoma tipo B de la zona marginal extraganglionar (MALT) con afectación gástrica	linfoma tipo B de la zona marginal extraganglionar (MALT) con afectación gástrica
9731/6	infiltración hepática por plasmocitoma	infiltración hepática por plasmocitoma
9735/6	linfoma plasmablástico estadio IV por afectación hepática	linfoma plasmablástico estadio IV por afectación hepática
8520/64/H	carcinoma lobulillar de alto grado (pleomórfico) metastásico	carcinoma lobulillar de alto grado (pleomórfico) metastásico
8815/11/H	tumor fibroso esclerosante de bajo grado	tumor fibroso esclerosante de bajo grado
